Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Fwd Header Len,Bwd Header Len,Pkt Len Mean,Pkt Len Std,Pkt Len Var
192.168.85.228-192.168.85.99-52714-53-6,192.168.85.228,52714,192.168.85.99,53,6,437820,5,6,49,77,47,0,9.8,20.81345719,76,0,12.83333333,30.94780552,287.7895025,25.12448038,100,144,10.5,24.61891365,606.0909091
192.168.85.228-192.168.85.99-52715-53-6,192.168.85.228,52715,192.168.85.99,53,6,437593,5,6,49,65,47,0,9.8,20.81345719,64,0,10.83333333,26.04931221,260.5160503,25.13751363,100,144,9.5,21.79866551,475.1818182
192.168.85.228-192.168.85.99-52716-53-6,192.168.85.228,52716,192.168.85.99,53,6,437398,5,6,49,74,47,0,9.8,20.81345719,73,0,12.33333333,29.72316717,281.2084189,25.14872039,100,144,10.25,23.89798394,571.1136364
192.168.85.228-192.168.85.99-52722-53-6,192.168.85.228,52722,192.168.85.99,53,6,289015,5,6,40,86,38,0,8,16.79285562,85,0,14.33333333,34.62176579,435.9635313,38.06030829,100,144,10.5,25.8509715,668.2727273
192.168.85.228-192.168.85.99-52725-53-6,192.168.85.228,52725,192.168.85.99,53,6,287450,5,6,40,86,38,0,8,16.79285562,85,0,14.33333333,34.62176579,438.3371021,38.26752479,100,144,10.5,25.8509715,668.2727273
192.168.85.228-192.168.85.99-52721-53-6,192.168.85.228,52721,192.168.85.99,53,6,289973,5,6,40,98,38,0,8,16.79285562,97,0,16.33333333,39.52045884,475.9063775,37.93456632,100,144,11.5,29.03133104,842.8181818
192.168.85.228-192.168.85.99-52723-53-6,192.168.85.228,52723,192.168.85.99,53,6,289031,5,6,40,127,38,0,8,16.79285562,126,0,21.16666667,51.35919262,577.7926935,38.05820137,100,144,13.91666667,36.92857562,1363.719697
192.168.85.228-192.168.85.99-52724-53-6,192.168.85.228,52724,192.168.85.99,53,6,288467,5,6,40,98,38,0,8,16.79285562,97,0,16.33333333,39.52045884,478.3909425,38.13261136,100,144,11.5,29.03133104,842.8181818
192.168.85.228-192.168.85.99-52726-53-6,192.168.85.228,52726,192.168.85.99,53,6,287775,5,6,40,127,38,0,8,16.79285562,126,0,21.16666667,51.35919262,580.3144818,38.22430718,100,136,13.91666667,36.92857562,1363.719697
192.168.85.228-192.168.85.99-52733-53-6,192.168.85.228,52733,192.168.85.99,53,6,328434,5,6,37,53,35,0,7.4,15.45315502,52,0,8.833333333,21.1510441,274.0276585,33.49226938,100,144,7.5,17.21257468,296.2727273
