"Flow ID","Src IP","Src Port","Dst IP","Dst Port","Protocol","Flow Duration","Tot Fwd Pkts","Tot Bwd Pkts","TotLen Fwd Pkts","TotLen Bwd Pkts","Fwd Pkt Len Max","Fwd Pkt Len Min","Fwd Pkt Len Mean","Fwd Pkt Len Std","Bwd Pkt Len Max","Bwd Pkt Len Min","Bwd Pkt Len Mean","Bwd Pkt Len Std","Flow Byts/s","Flow Pkts/s","Fwd Header Len","Bwd Header Len","Pkt Len Mean","Pkt Len Std","Pkt Len Var","Label"
"192.168.85.228-192.168.85.99-52714-53-6","192.168.85.228","52714","192.168.85.99","53","6","437820","5","6","49","77","47","0","9.8","20.813457185196","76","0","12.833333333333","30.947805522632","287.78950253529","25.124480380065","100","144","10.5","24.618913645628","606.09090909091","0"
"192.168.85.228-192.168.85.99-52715-53-6","192.168.85.228","52715","192.168.85.99","53","6","437593","5","6","49","65","47","0","9.8","20.813457185196","64","0","10.833333333333","26.04931221101","260.51605030245","25.137513625675","100","144","9.5","21.798665513784","475.18181818182","0"
"192.168.85.228-192.168.85.99-52716-53-6","192.168.85.228","52716","192.168.85.99","53","6","437398","5","6","49","74","47","0","9.8","20.813457185196","73","0","12.333333333333","29.723167170856","281.20841887709","25.148720387382","100","144","10.25","23.897983939312","571.11363636364","0"
"192.168.85.228-192.168.85.99-52722-53-6","192.168.85.228","52722","192.168.85.99","53","6","289015","5","6","40","86","38","0","8","16.792855623747","85","0","14.333333333333","34.621765793597","435.9635313046","38.060308288497","100","144","10.5","25.850971495724","668.27272727273","0"
"192.168.85.228-192.168.85.99-52725-53-6","192.168.85.228","52725","192.168.85.99","53","6","287450","5","6","40","86","38","0","8","16.792855623747","85","0","14.333333333333","34.621765793597","438.33710210471","38.267524786919","100","144","10.5","25.850971495724","668.27272727273","0"
"192.168.85.228-192.168.85.99-52721-53-6","192.168.85.228","52721","192.168.85.99","53","6","289973","5","6","40","98","38","0","8","16.792855623747","97","0","16.333333333333","39.520458836743","475.90637749032","37.934566321692","100","144","11.5","29.03133103766","842.81818181818","0"
"192.168.85.228-192.168.85.99-52723-53-6","192.168.85.228","52723","192.168.85.99","53","6","289031","5","6","40","127","38","0","8","16.792855623747","126","0","21.166666666667","51.359192620861","577.7926935173","38.058201369403","100","144","13.916666666667","36.928575615229","1363.7196969697","0"
"192.168.85.228-192.168.85.99-52724-53-6","192.168.85.228","52724","192.168.85.99","53","6","288467","5","6","40","98","38","0","8","16.792855623747","97","0","16.333333333333","39.520458836743","478.39094246482","38.132611355892","100","144","11.5","29.03133103766","842.81818181818","0"
"192.168.85.228-192.168.85.99-52726-53-6","192.168.85.228","52726","192.168.85.99","53","6","287775","5","6","40","127","38","0","8","16.792855623747","126","0","21.166666666667","51.359192620861","580.31448180002","38.224307184432","100","136","13.916666666667","36.928575615229","1363.7196969697","0"
"192.168.85.228-192.168.85.99-52733-53-6","192.168.85.228","52733","192.168.85.99","53","6","328434","5","6","37","53","35","0","7.4","15.453155017665","52","0","8.8333333333333","21.151044103464","274.027658525","33.492269375278","100","144","7.5","17.212574684594","296.27272727273","0"
"192.168.85.228-192.168.85.99-52734-53-6","192.168.85.228","52734","192.168.85.99","53","6","328610","5","6","37","94","35","0","7.4","15.453155017665","93","0","15.666666666667","37.88755292529","398.64885426493","33.474331274155","100","144","10.916666666667","27.714316396645","768.08333333333","0"
"192.168.85.228-192.168.85.99-52731-53-6","192.168.85.228","52731","192.168.85.99","53","6","329482","5","6","37","65","35","0","7.4","15.453155017665","64","0","10.833333333333","26.04931221101","309.57685093571","33.3857388264","100","144","8.5","20.133644388526","405.36363636364","0"
"192.168.85.228-192.168.85.99-52742-53-6","192.168.85.228","52742","192.168.85.99","53","6","333749","5","6","35","51","33","0","7","14.560219778561","50","0","8.5","20.334699407663","257.67867469266","32.958900251387","100","144","7.1666666666667","16.452871168795","270.69696969697","0"
"192.168.85.228-192.168.85.99-52740-53-6","192.168.85.228","52740","192.168.85.99","53","6","334358","5","6","35","63","33","0","7","14.560219778561","62","0","10.5","25.232915011944","293.09901363209","32.898868877072","100","144","8.1666666666667","19.394625934818","376.15151515152","0"
"192.168.85.228-192.168.85.99-52744-53-6","192.168.85.228","52744","192.168.85.99","53","6","333845","5","6","35","92","33","0","7","14.560219778561","91","0","15.333333333333","37.071102852042","380.41606134583","32.949422636253","100","144","10.583333333333","27.020054280725","730.08333333333","0"
"192.168.85.228-192.168.85.99-52752-53-6","192.168.85.228","52752","192.168.85.99","53","6","427708","5","6","36","143","34","0","7.2","15.006665185843","142","0","23.833333333333","57.890989511898","418.50982445968","25.718480832718","100","144","14.916666666667","41.181324834827","1695.9015151515","0"
"192.168.85.228-192.168.85.99-52753-53-6","192.168.85.228","52753","192.168.85.99","53","6","427473","5","6","36","164","34","0","7.2","15.006665185843","163","0","27.333333333333","66.464025357081","467.86580672931","25.732619370112","100","144","16.666666666667","47.094360467882","2217.8787878788","0"
"192.168.85.228-192.168.85.99-52751-53-6","192.168.85.228","52751","192.168.85.99","53","6","428599","5","6","36","303","34","0","7.2","15.006665185843","302","0","50.5","123.20998336174","790.9491156069","25.665015550666","100","144","28.25","86.753700471245","7526.2045454545","0"
"192.168.85.228-192.168.85.99-52763-53-6","192.168.85.228","52763","192.168.85.99","53","6","337592","5","6","35","63","33","0","7","14.560219778561","62","0","10.5","25.232915011944","290.29123912889","32.583710514467","100","144","8.1666666666667","19.394625934818","376.15151515152","0"
"192.168.85.228-192.168.85.99-52766-53-6","192.168.85.228","52766","192.168.85.99","53","6","337408","5","6","35","92","33","0","7","14.560219778561","91","0","15.333333333333","37.071102852042","376.39889984825","32.601479514416","100","144","10.583333333333","27.020054280725","730.08333333333","0"
"192.168.85.228-192.168.85.99-52764-53-6","192.168.85.228","52764","192.168.85.99","53","6","338116","5","6","35","51","33","0","7","14.560219778561","50","0","8.5","20.334699407663","254.35057790817","32.533213453371","100","144","7.1666666666667","16.452871168795","270.69696969697","0"
"192.168.85.228-192.168.85.99-52772-53-6","192.168.85.228","52772","192.168.85.99","53","6","432885","5","6","35","63","33","0","7","14.560219778561","62","0","10.5","25.232915011944","226.38807073472","25.410905898795","100","144","8.1666666666667","19.394625934818","376.15151515152","0"
"192.168.85.228-192.168.85.99-52775-53-6","192.168.85.228","52775","192.168.85.99","53","6","433252","5","6","35","85","33","0","7","14.560219778561","84","0","14.166666666667","34.213545075988","276.97506301183","25.389380776084","100","144","10","25.135993750361","631.81818181818","0"
"192.168.85.228-192.168.85.99-52774-53-6","192.168.85.228","52774","192.168.85.99","53","6","434000","5","6","35","51","33","0","7","14.560219778561","50","0","8.5","20.334699407663","198.15668202765","25.345622119816","100","144","7.1666666666667","16.452871168795","270.69696969697","0"
"192.168.85.228-192.168.85.99-52778-53-6","192.168.85.228","52778","192.168.85.99","53","6","231409","5","6","43","236","41","0","8.6","18.132843130629","235","0","39.333333333333","95.857533176411","1205.6575154812","47.534884122917","100","144","23.25","67.705411358862","4584.0227272727","0"
"192.168.85.228-192.168.85.99-52777-53-6","192.168.85.228","52777","192.168.85.99","53","6","232227","5","6","43","175","41","0","8.6","18.132843130629","174","0","29.166666666667","70.954680371817","938.73666714034","47.367446507081","100","144","18.166666666667","50.453999451045","2545.6060606061","0"
"192.168.85.228-192.168.85.99-52776-53-6","192.168.85.228","52776","192.168.85.99","53","6","262368","5","6","43","187","41","0","8.6","18.132843130629","186","0","31.166666666667","75.853587038891","876.63129649957","41.925844615197","100","144","19.166666666667","53.829416313072","2897.6060606061","0"
"192.168.85.228-192.168.85.99-52780-53-6","192.168.85.228","52780","192.168.85.99","53","6","243241","5","6","35","131","33","0","7","14.560219778561","130","0","21.833333333333","52.992137781624","682.45073815681","45.222639275451","100","144","13.833333333333","37.776455710675","1427.0606060606","0"
"192.168.85.228-192.168.85.99-52781-53-6","192.168.85.228","52781","192.168.85.99","53","6","254278","5","6","35","125","33","0","7","14.560219778561","124","0","20.833333333333","50.542721203618","629.2325722241","43.259739340407","100","144","13.333333333333","36.101708177499","1303.3333333333","0"
"192.168.85.228-192.168.85.99-52779-53-6","192.168.85.228","52779","192.168.85.99","53","6","255677","5","6","35","111","33","0","7","14.560219778561","110","0","18.5","44.827446949386","571.03298302155","43.023032967377","100","144","12.166666666667","32.217537102791","1037.9696969697","0"
"192.168.85.228-192.168.85.99-52786-53-6","192.168.85.228","52786","192.168.85.99","53","6","196551","5","6","30","123","28","0","6","12.328828005938","122","0","20.5","49.72625061273","778.42392050918","55.96511846798","100","144","12.75","35.319644289365","1247.4772727273","0"
"192.168.85.228-192.168.85.99-52785-53-6","192.168.85.228","52785","192.168.85.99","53","6","197465","5","6","30","46","28","0","6","12.328828005938","45","0","7.6666666666667","18.293896978683","384.87833286912","55.706074494214","100","144","6.3333333333333","14.562300850504","212.06060606061","0"
"192.168.85.228-192.168.85.99-52784-53-6","192.168.85.228","52784","192.168.85.99","53","6","346174","5","6","30","58","28","0","6","12.328828005938","57","0","9.6666666666667","23.191952627294","254.20742170123","31.775927712653","100","144","7.3333333333333","17.562011343358","308.42424242424","0"
"192.168.85.228-192.168.85.99-52827-53-6","192.168.85.228","52827","192.168.85.99","53","6","347617","5","6","50","139","48","0","10","21.260291625469","138","0","23.166666666667","56.25803646295","543.70183276422","31.644022012732","100","144","15.75","40.872584721524","1670.5681818182","0"
"192.168.85.228-192.168.85.99-52826-53-6","192.168.85.228","52826","192.168.85.99","53","6","349085","5","6","50","95","48","0","10","21.260291625469","94","0","15.833333333333","38.295778705579","415.37161436326","31.510950055144","100","144","12.083333333333","29.221593302753","853.90151515152","0"
"192.168.85.228-192.168.85.99-52825-53-6","192.168.85.228","52825","192.168.85.99","53","6","349804","5","6","50","107","48","0","10","21.260291625469","106","0","17.833333333333","43.194521257524","448.82276932225","31.446181290094","100","144","13.083333333333","32.320717626296","1044.6287878788","0"
"192.168.85.228-192.168.85.99-52832-53-6","192.168.85.228","52832","192.168.85.99","53","6","214916","5","6","42","178","40","0","8.4","17.686152775547","177","0","29.666666666667","72.179406111901","1023.6557538759","51.182787693797","100","144","18.333333333333","51.257519773525","2627.3333333333","0"
